"700 W GREEN ST ,URBANA,IL",40.1105313;-88.2220676
"300 W GREEN ST ,URBANA,IL",40.1105313;-88.2220676
"500 FAIRLAWN DR ,URBANA,IL",40.101507;-88.189754
"1400 S LINCOLN AVE ,URBANA,IL",40.0982942;-88.2191174
"100 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"1500 N CARVER DR ,URBANA,IL",40.128053;-88.228441
"100 S GROVE ST ,URBANA,IL",40.098454;-88.20122
"600 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"1 COLER AVE ,URBANA,IL",40.127903;-88.2160786
"1500 IVANHOE WAY ,URBANA,IL",40.101951;-88.188272
"2000 S PHILO RD ,URBANA,IL",40.098565;-88.190744
"1 LAKESIDE TERR ,URBANA,IL",40.1196636;-88.2063538
"1200 W TREMONT ST ,URBANA,IL",40.124809;-88.226435
"300 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"200 W G HUFF ,URBANA,IL",40.090901;-88.210492
"1300 W BESLIN ST ,URBANA,IL",40.1202524;-88.2287173
"900 E PARK ST ,URBANA,IL",40.117201;-88.198949
"100 W PARK ST ,URBANA,IL",40.117429;-88.209886
"1500 HUNTER ST ,URBANA,IL",40.103771;-88.189769
"1700 E WASHINGTON ST ,URBANA,IL",40.1058973;-88.1619329
"1000 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"300 S COTTAGE GROVE AVE ,URBANA,IL",40.099197;-88.195569
"1 SPRINGFIELD AVE ,URBANA,IL",40.1127337;-88.2272837
"400 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"1100 S LINCOLN AVE ,URBANA,IL",40.0982942;-88.2191174
"900 E FAIRLAWN DR ,URBANA,IL",40.101507;-88.189754
"1200 S VINE ST ,URBANA,IL",40.1027383;-88.20454516789027
"800 E MAIN ST ,URBANA,IL",40.112463;-88.2062329
"500 E WASHINGTON ST ,URBANA,IL",40.1058973;-88.1619329
"1400 W PARK ST ,URBANA,IL",40.11769715;-88.22642518650568
"1100 S LIERMAN AVE ,URBANA,IL",40.1091376;-88.1887677
"200 S BROADWAY AVE ,URBANA,IL",40.112345;-88.2074102
"1000 N DIVISION AVE ,URBANA,IL",40.123718;-88.205341
"700 SHURTS ST ,URBANA,IL",40.0862094;-88.2006444
"1 RACE ST ,URBANA,IL",40.087106;-88.20947
"1 HOLLYWOOD ,URBANA,IL",40.103011;-88.202602
"1100 S VINE ST ,URBANA,IL",40.0984331;-88.2049066
"500 W OREGON ST ,URBANA,IL",40.106998;-88.221531
"300 FAIRLAWN DR ,URBANA,IL",40.101507;-88.189754
"700 W HIGH ST ,URBANA,IL",40.109834;-88.213138
"700 W ILLINOIS ST ,URBANA,IL",40.109129;-88.21452
"400 S URBANA AVE ,URBANA,IL",40.1121507;-88.2037938
"100 E WATER ST ,URBANA,IL",40.113956;-88.193703
"500 W PENN CT ,URBANA,IL",40.100783;-88.19669829642856
"1 WESTERN AVE ,URBANA,IL",40.1122192;-88.220546
"600 E FLORIDA AVE ,URBANA,IL",40.098366;-88.197856
"200 FLORIDA AVE ,URBANA,IL",40.098302;-88.209463
"200 W FLORIDA AVE ,URBANA,IL",40.098302;-88.209463
"1800 E WASHINGTON ST ,URBANA,IL",40.1058973;-88.1619329
"1300 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"1000 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"2100 WILLOW RD ,URBANA,IL",40.157868;-88.201046
"1 FAIRVIEW AVE ,URBANA,IL",40.120051;-88.221725
"1600 ANDERSON ST ,URBANA,IL",40.107478;-88.200251
"700 W STOUGHTON ST ,URBANA,IL",40.113444;-88.218188
"100 W MAIN ST ,URBANA,IL",40.1124211;-88.2093446
"200 N CENTRAL AVE ,URBANA,IL",40.1140309;-88.2114653
"1600 WILLOW RD ,URBANA,IL",40.157868;-88.201046
"700 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"1600 WILEY DR ,URBANA,IL",40.099185;-88.197881
"600 E UNIVERSITY AVE ,URBANA,IL",40.11754795;-88.2016965933665
"700 W MICHIGAN AVE ,URBANA,IL",40.1019352;-88.212116
"1000 FAIRVIEW AVE ,URBANA,IL",40.120051;-88.221725
"500 CRYSTAL LAKE DR ,URBANA,IL",40.1188505;-88.2047201
"400 N RACE ST ,URBANA,IL",40.116979;-88.209064
"100 LINCOLN SQUARE ,URBANA,IL",40.1347341;-88.2196464
"200 S VINE ST ,URBANA,IL",40.0984331;-88.2049066
"2000 E VERMONT AVE ,URBANA,IL",40.100338;-88.1812642
"700 E COLORADO AVE ,URBANA,IL",40.0946606;-88.1859053
"1200 E HARDING DR ,URBANA,IL",40.0938328;-88.1934196
"400 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"1400 S COTTAGE GROVE AVE ,URBANA,IL",40.099197;-88.195569
"800 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"1300 IVANHOE WAY ,URBANA,IL",40.101951;-88.188272
"1400 E WASHINGTON ST ,URBANA,IL",40.1058973;-88.1619329
"500 E MAIN ST ,URBANA,IL",40.112463;-88.2062329
"100 E MAIN ST ,URBANA,IL",40.112463;-88.2062329
"2500 S LYNN ST ,URBANA,IL",40.0843672;-88.1965162
"1 PERKINS RD ,URBANA,IL",40.127477;-88.190096
"700 E UNIVERSITY AVE ,URBANA,IL",40.115611;-88.186623
"2100 S RACE ST ,URBANA,IL",40.094109;-88.209578
"1200 W BRADLEY AVE ,URBANA,IL",40.1273759;-88.2212734
"700 W CALIFORNIA AVE ,URBANA,IL",40.1083188;-88.2132143
"900 W BRADLEY AVE ,URBANA,IL",40.1273759;-88.2212734
"1100 S ANDERSON ST ,URBANA,IL",40.107478;-88.200251
"100 N RACE ST ,URBANA,IL",40.116979;-88.209064
"700 S BROADWAY AVE ,URBANA,IL",40.112345;-88.2074102
"400 N VINE ST ,URBANA,IL",40.114339;-88.205037
"1000 S RACE ST ,URBANA,IL",40.094109;-88.209578
"1 S PHILO RD ,URBANA,IL",40.098565;-88.190744
"1 FLORIDA AVE ,URBANA,IL",40.098302;-88.209463
"1200 N CUNNINGHAM AVE ,URBANA,IL",40.1246611;-88.2007459
"1 MAPLE ST ,URBANA,IL",40.1006602;-88.2023793
"1900 N CUNNINGHAM AVE ,URBANA,IL",40.1246611;-88.2007459
"1700 E FLORIDA AVE ,URBANA,IL",40.098366;-88.197856
"100 SCOTTSWOOD DR ,URBANA,IL",40.110848;-88.173598
"1 GRIGGS ST ,URBANA,IL",40.114501;-88.212069
"1600 S WILEY DR ,URBANA,IL",40.099185;-88.197881
"1800 PHILO RD ,URBANA,IL",40.098565;-88.190744
"1100 GERALDINE AVE ,URBANA,IL",40.12299;-88.202815
"1600 S ANDERSON ST ,URBANA,IL",40.107478;-88.200251
"400 FAIRLAWN DR ,URBANA,IL",40.101507;-88.189754
"600 W OHIO ST ,URBANA,IL",40.1037067;-88.2175382
"2200 S LYNN ST ,URBANA,IL",40.0843672;-88.1965162
"600 W STOUGHTON ST ,URBANA,IL",40.113444;-88.218188
"700 S GOODWIN AVE ,URBANA,IL",40.1122421;-88.2239575
"1 PENNSYLVANIA AVE ,URBANA,IL",40.1007281;-88.2065366
"1 PHILO RD ,URBANA,IL",40.098565;-88.190744
"200 S POPLAR ST ,URBANA,IL",40.1093255;-88.194526
"1400 W BESLIN ST ,URBANA,IL",40.1202524;-88.2287173
"1700 S PHILO RD ,URBANA,IL",40.098565;-88.190744
"1100 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"1400 W HILL ST ,URBANA,IL",40.1192878;-88.2287048
"1300 W BRADLEY AVE ,URBANA,IL",40.1273759;-88.2212734
"1000 N GOODWIN AVE ,URBANA,IL",40.1145612;-88.2240165
"500 N CUNNINGHAM AVE ,URBANA,IL",40.1246611;-88.2007459
"600 W SPRINGFIELD AV ,URBANA,IL",40.1127643;-88.2247665
"500 S VINE ST ,URBANA,IL",40.0984331;-88.2049066
"600 S BROADWAY AVE ,URBANA,IL",40.112345;-88.2074102
"1000 N BUSEY AVE ,URBANA,IL",40.1201624;-88.2169541
"1900 GALENA ST ,URBANA,IL",40.081575;-88.183791
"800 W VERMONT AVE ,URBANA,IL",40.0998677;-88.2120776
"1100 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"1500 E WASHINGTON ST ,URBANA,IL",40.1058973;-88.1619329
"1 FAIRLAWN DR ,URBANA,IL",40.101507;-88.189754
"1200 W CALIFORNIA AVE ,URBANA,IL",40.1083188;-88.2132143
"600 N COLER AVE ,URBANA,IL",40.127903;-88.2160786
"1600 ADAMS ST ,URBANA,IL",40.099156;-88.188558
"1500 CARVER DR ,URBANA,IL",40.128053;-88.228441
"900 W MAIN ST ,URBANA,IL",40.1124211;-88.2093446
"300 N ORCHARD PL ,URBANA,IL",40.09631745;-88.21327011760721
"1 ILLINOIS ST ,URBANA,IL",40.1131753;-88.20866617411498
"1200 E PENNSYLVANIA AVE ,URBANA,IL",40.1007281;-88.2065366
"600 N BROADWAY AVE ,URBANA,IL",40.123761;-88.207673
"900 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"1500 S LINCOLN AVE ,URBANA,IL",40.0982942;-88.2191174
"1200 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"800 W HILL ST ,URBANA,IL",40.1192878;-88.2287048
"200 S LYNN ST ,URBANA,IL",40.0843672;-88.1965162
"400 W ELM ST ,URBANA,IL",40.1115916;-88.2083399
"800 S RACE ST ,URBANA,IL",40.094109;-88.209578
"600 E CHURCH ST ,URBANA,IL",40.1182619;-88.2223659
"900 HARVEY ST ,URBANA,IL",40.1228469;-88.2224737
"1 GREGORY DR ,URBANA,IL",40.1041825;-88.2227636
"1100 LIERMAN AVE ,URBANA,IL",40.102958;-88.18863
"300 S GOODWIN AVE ,URBANA,IL",40.1122421;-88.2239575
"2200 BOUDREAU CIR ,URBANA,IL",40.088028;-88.207152
"1 BOUDREAU DR ,URBANA,IL",40.089714;-88.20655
"700 W MAIN ST ,URBANA,IL",40.1124211;-88.2093446
"1 KINCH ST ,URBANA,IL",40.10407;-88.181422
"200 S GROVE ST ,URBANA,IL",40.098454;-88.20122
"800 W PARK ST ,URBANA,IL",40.117429;-88.209886
"1100 N CUNNINGHAM AVE ,URBANA,IL",40.1246611;-88.2007459
"1 MONTCLAIR RD ,URBANA,IL",40.095115;-88.207504
"2000 N LINVIEW AVE ,URBANA,IL",40.121179;-88.218156
"1100 MCHENRY ST ,URBANA,IL",40.086938;-88.208274
"1 GOODWIN AVE ,URBANA,IL",40.1122421;-88.2239575
"1 CARLE HOSPITAL ,URBANA,IL",40.11716415;-88.21607549584442
"1600 LINDEN DR ,URBANA,IL",40.098884;-88.193502
"800 S VINE ST ,URBANA,IL",40.0984331;-88.2049066
"200 E MAIN ST ,URBANA,IL",40.112463;-88.2062329
"600 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"900 W GREEN ST ,URBANA,IL",40.1105313;-88.2220676
"600 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"400 S VINE ST ,URBANA,IL",40.1100823;-88.20453431023302
"300 W ELM ST ,URBANA,IL",40.1115916;-88.2083399
"300 UNIVERSITY AVE ,URBANA,IL",40.113339;-88.160152
"1 BUSEY AVE ,URBANA,IL",40.1201624;-88.2169541
"1800 JAMES CHERRY DR ,URBANA,IL",40.098933;-88.185689
"1 JAMES PL ,URBANA,IL",40.098933;-88.185689
"1300 N CUNNINGHAM AVE ,URBANA,IL",40.1246611;-88.2007459
"500 E KERR AVE ,URBANA,IL",40.12199;-88.204404
"1500 WILLOW RD ,URBANA,IL",40.157868;-88.201046
"800 PERKINS RD ,URBANA,IL",40.127477;-88.190096
"1 CHURCH ST ,URBANA,IL",40.1182619;-88.2223659
"1300 E FLORIDA AVE ,URBANA,IL",40.098366;-88.197856
"1 IOWA ST ,URBANA,IL",40.1045279;-88.2087586
"1500 W BRADLEY AVE ,URBANA,IL",40.1273759;-88.2212734
"1200 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"700 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"800 W IOWA ST ,URBANA,IL",40.1045279;-88.2087586
"900 W UNIVERSITY AVE ,URBANA,IL",40.1164184;-88.2216703
"800 W SPRINGFIELD AVE ,URBANA,IL",40.1127643;-88.2247665
"900 W NEVADA ST ,URBANA,IL",40.1059617;-88.2225496
"3400 S RACE ST ,URBANA,IL",40.094109;-88.209578
"700 S WALNUT ST ,URBANA,IL",40.106595;-88.20619
"400 W VERMONT AVE ,URBANA,IL",40.0998677;-88.2120776
"1000 E COLORADO AVE ,URBANA,IL",40.0946606;-88.1859053
"1000 BOYDEN ST ,URBANA,IL",40.125606;-88.198364
"1200 N BUSEY AVE ,URBANA,IL",40.1201624;-88.2169541
"1400 WILEY DR ,URBANA,IL",40.099185;-88.197881
"900 S LINCOLN AVE ,URBANA,IL",40.0982942;-88.2191174
"700 N LINCOLN AVE ,URBANA,IL",40.1146456;-88.2193136
"1500 E MAIN ST ,URBANA,IL",40.112463;-88.2062329
"100 W CALIFORNIA AVE ,URBANA,IL",40.1083188;-88.2132143
